defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,type_numeric,location_numeric,severity_numeric,inspection_method_numeric,year,month,day_of_week,defect_to_product_ratio,cost_bin,defects_per_inspection,avg_cost_per_defect_type,defects_per_day,cost_to_product_ratio,inspection_efficiency
1,15,Structural,2024-06-06,Component,Minor,Visual Inspection,245.47,1,1,1,1,2024,6,Thursday,0.1,Low,351,502.6245738636364,3,40.4251,494.0540740740741
2,6,Functional,2024-04-26,Component,Minor,Visual Inspection,26.87,2,1,1,1,2024,4,Friday,0.15,Low,351,507.0961061946902,10,87.3381,494.0540740740741
3,84,Structural,2024-02-15,Internal,Minor,Automated Testing,835.81,1,2,1,2,2024,2,Thursday,0.07,Critical,297,502.6245738636364,7,34.433099999999996,501.8043097643098
4,10,Functional,2024-03-28,Internal,Critical,Automated Testing,444.47,2,2,3,2,2024,3,Thursday,0.16,Medium,297,507.0961061946902,4,100.8492,501.8043097643098
5,14,Cosmetic,2024-04-26,Component,Minor,Manual Testing,823.64,3,1,1,3,2024,4,Friday,0.11,Critical,352,513.9084789644013,10,56.9366,526.0746875
6,17,Functional,2024-05-11,Internal,Moderate,Visual Inspection,788.11,2,2,2,1,2024,5,Saturday,0.14,Critical,351,507.0961061946902,3,72.947,494.0540740740741
7,85,Cosmetic,2024-05-23,Internal,Critical,Manual Testing,33.68,3,2,3,3,2024,5,Thursday,0.04,Low,352,513.9084789644013,3,13.3725,526.0746875
8,90,Structural,2024-01-15,Internal,Moderate,Manual Testing,65.56,1,2,2,3,2024,1,Monday,0.13,Low,352,502.6245738636364,7,48.49940000000001,526.0746875
9,30,Structural,2024-01-26,Component,Critical,Manual Testing,848.61,1,1,3,3,2024,1,Friday,0.09,Critical,352,502.6245738636364,8,52.728199999999994,526.0746875
10,20,Structural,2024-06-05,Component,Critical,Visual Inspection,478.48,1,1,3,1,2024,6,Wednesday,0.07,Medium,351,502.6245738636364,2,37.683099999999996,494.0540740740741
11,45,Structural,2024-04-28,Surface,Moderate,Automated Testing,217.96,1,3,2,2,2024,4,Sunday,0.15,Low,297,502.6245738636364,3,95.3236,501.8043097643098
12,86,Structural,2024-02-25,Component,Minor,Manual Testing,485.02,1,1,1,3,2024,2,Sunday,0.14,Medium,352,502.6245738636364,10,71.40729999999999,526.0746875
13,87,Cosmetic,2024-06-20,Component,Minor,Visual Inspection,714.63,3,1,1,1,2024,6,Thursday,0.12,High,351,513.9084789644013,8,62.4517,494.0540740740741
14,72,Cosmetic,2024-05-08,Surface,Critical,Manual Testing,603.94,3,3,3,3,2024,5,Wednesday,0.1,High,352,513.9084789644013,5,44.5527,526.0746875
15,74,Cosmetic,2024-05-03,Component,Critical,Manual Testing,189.55,3,1,3,3,2024,5,Friday,0.15,Low,352,513.9084789644013,10,84.6054,526.0746875
16,10,Functional,2024-01-20,Component,Minor,Automated Testing,458.79,2,1,1,2,2024,1,Saturday,0.16,Medium,297,507.0961061946902,6,100.8492,501.8043097643098
17,53,Structural,2024-05-14,Internal,Minor,Visual Inspection,509.35,1,2,1,1,2024,5,Tuesday,0.06,High,351,502.6245738636364,7,32.7112,494.0540740740741
18,63,Cosmetic,2024-05-21,Component,Critical,Visual Inspection,538.99,3,1,3,1,2024,5,Tuesday,0.2,High,351,513.9084789644013,6,91.7406,494.0540740740741
19,28,Functional,2024-02-15,Internal,Critical,Manual Testing,34.93,2,2,3,3,2024,2,Thursday,0.12,Low,352,507.0961061946902,7,55.408199999999994,526.0746875
20,81,Structural,2024-05-25,Internal,Moderate,Manual Testing,557.11,1,2,2,3,2024,5,Saturday,0.2,High,352,502.6245738636364,4,117.40639999999999,526.0746875
21,67,Functional,2024-05-03,Surface,Minor,Visual Inspection,831.43,2,3,1,1,2024,5,Friday,0.12,Critical,351,507.0961061946902,10,67.6574,494.0540740740741
22,6,Structural,2024-03-06,Surface,Minor,Visual Inspection,504.9,1,3,1,1,2024,3,Wednesday,0.15,Medium,351,502.6245738636364,4,87.3381,494.0540740740741
23,33,Structural,2024-05-06,Surface,Moderate,Automated Testing,349.23,1,3,2,2,2024,5,Monday,0.11,Medium,297,502.6245738636364,9,55.758100000000006,501.8043097643098
24,15,Structural,2024-02-23,Component,Critical,Visual Inspection,560.39,1,1,3,1,2024,2,Friday,0.1,High,351,502.6245738636364,7,40.4251,494.0540740740741
25,13,Cosmetic,2024-02-19,Surface,Moderate,Manual Testing,629.71,3,3,2,3,2024,2,Monday,0.09,High,352,513.9084789644013,7,51.006400000000006,526.0746875
26,39,Structural,2024-06-15,Component,Moderate,Visual Inspection,975.44,1,1,2,1,2024,6,Saturday,0.11,Critical,351,502.6245738636364,3,52.7325,494.0540740740741
27,60,Cosmetic,2024-05-08,Component,Moderate,Manual Testing,737.54,3,1,2,3,2024,5,Wednesday,0.1,High,352,513.9084789644013,5,63.1134,526.0746875
28,42,Structural,2024-01-02,Component,Critical,Manual Testing,592.87,1,1,3,3,2024,1,Tuesday,0.05,High,352,502.6245738636364,11,25.5651,526.0746875
29,3,Structural,2024-01-13,Component,Moderate,Automated Testing,99.82,1,1,2,2,2024,1,Saturday,0.08,Low,297,502.6245738636364,10,31.0665,501.8043097643098
30,17,Functional,2024-01-22,Surface,Critical,Visual Inspection,106.34,2,3,3,1,2024,1,Monday,0.14,Low,351,507.0961061946902,3,72.947,494.0540740740741
31,30,Structural,2024-04-30,Surface,Critical,Automated Testing,352.58,1,3,3,2,2024,4,Tuesday,0.09,Medium,297,502.6245738636364,4,52.728199999999994,501.8043097643098
32,25,Structural,2024-03-29,Surface,Moderate,Visual Inspection,734.12,1,3,2,1,2024,3,Friday,0.11,High,351,502.6245738636364,9,34.7919,494.0540740740741
33,14,Cosmetic,2024-05-15,Internal,Minor,Visual Inspection,953.54,3,2,1,1,2024,5,Wednesday,0.11,Critical,351,513.9084789644013,5,56.9366,494.0540740740741
34,58,Structural,2024-06-19,Surface,Critical,Manual Testing,753.89,1,3,3,3,2024,6,Wednesday,0.1,High,352,502.6245738636364,5,60.3877,526.0746875
35,48,Functional,2024-04-04,Component,Critical,Automated Testing,955.91,2,1,3,2,2024,4,Thursday,0.07,Critical,297,507.0961061946902,11,44.5807,501.8043097643098
36,20,Structural,2024-06-04,Surface,Critical,Automated Testing,776.91,1,3,3,2,2024,6,Tuesday,0.07,Critical,297,502.6245738636364,6,37.683099999999996,501.8043097643098
37,68,Cosmetic,2024-01-20,Internal,Critical,Manual Testing,607.96,3,2,3,3,2024,1,Saturday,0.07,High,352,513.9084789644013,6,42.4433,526.0746875
38,51,Functional,2024-06-08,Internal,Moderate,Automated Testing,107.7,2,2,2,2,2024,6,Saturday,0.13,Low,297,507.0961061946902,12,66.7168,501.8043097643098
39,12,Functional,2024-06-25,Internal,Critical,Manual Testing,27.24,2,2,3,3,2024,6,Tuesday,0.13,Low,352,507.0961061946902,6,65.8365,526.0746875
40,92,Cosmetic,2024-01-06,Surface,Critical,Visual Inspection,370.83,3,3,3,1,2024,1,Saturday,0.16,Medium,351,513.9084789644013,9,75.8884,494.0540740740741
41,63,Functional,2024-03-11,Component,Minor,Manual Testing,526.08,2,1,1,3,2024,3,Monday,0.2,High,352,507.0961061946902,7,91.7406,526.0746875
42,49,Functional,2024-05-18,Surface,Critical,Automated Testing,144.38,2,3,3,2,2024,5,Saturday,0.12,Low,297,507.0961061946902,4,84.1922,501.8043097643098
43,72,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,534.33,3,3,2,1,2024,3,Saturday,0.1,High,351,513.9084789644013,12,44.5527,494.0540740740741
